"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"35581",21.9529048655165,-1.13147286703058,0.373646257378432,-3.02819269479426,0.00246021156880649,0.0373648911500377
"35841",3.2380909546767,-2.2715095594171,0.750401929590653,-3.0270571940776,0.00246947228766988,0.0373648911500377
"35975",303.541414954584,-1.57497285451832,0.338582021141668,-4.65167302506983,3.29252849155047e-06,0.000346463793542697
"36021",1.77765332770437,3.92892863940224,1.10693718134657,3.54936911110239,0.000386155383777659,0.0109018257737229
"36060",7.77512851433818,-2.07279654291954,0.5111832441478,-4.05489922967863,5.01559202107214e-05,0.00263888534745046
"36457",14.0501576953771,1.07161366179516,0.368253538984352,2.9099887668444,0.00361441746616902,0.049219861377537
"36572",4.27829889847573,-3.0779204032053,0.715894262627236,-4.29940644014906,1.71256152590464e-05,0.00113273712356264
"36703",97.7709999777041,-1.24047073677019,0.244023629976291,-5.08340416414065,3.70729673341097e-07,7.80217448895128e-05
"37478",25.033465208559,2.07787556977373,0.50099232698763,4.14751974799213,3.36096487764277e-05,0.00185253183136738
"38123",11.6519518390403,2.83725657283318,0.938026218482668,3.02470924258671,0.00248872254476615,0.0374116408515171
"38610",481.173917855704,-0.934082973643058,0.290824184383363,-3.21184765160986,0.0013188429319649,0.0244249710999899
"38700",73.0856654754804,2.21273355232507,0.529969429777627,4.17520979135255,2.97711564493854e-05,0.00168098115073969
"39415",372.02682559406,-1.16461921308833,0.344438211682139,-3.38121373758347,0.000721663839289512,0.0168752705854063
"39598",7.71415101134827,2.25397831182475,0.493863219240284,4.56397282488879,5.01945789380934e-06,0.000430372037932172
"39965",7.81518057697534,1.7654903326279,0.508111956169704,3.47460891480824,0.000511598628388706,0.0136132278703431
"40125",10.3019066660819,-1.73844196307282,0.56295222014195,-3.08808083683278,0.00201453664107543,0.0328426220006312
"40475",54.4033879161117,-1.01502305765003,0.315000025229239,-3.22229516302849,0.00127168057581039,0.0239344758780573
"41619",393.464874065451,-0.909659747705864,0.264550096741183,-3.4385160274419,0.000584911911935521,0.0148499724079306
"41856",6.8511940804451,-1.6973851223924,0.487729063942804,-3.48018038677197,0.00050107628666746,0.0134882744608741
"41986",6.67438910399999,-2.45740464295264,0.833106429377819,-2.94968872679074,0.00318094229772962,0.0451771866211292
"42230",5.5631892368629,1.98368098706739,0.576195379861622,3.44272282701015,0.000575889217047827,0.0148131504162858
"42971",9.4511979528023,1.49436301977657,0.478314717828047,3.12422546093134,0.00178273798206073,0.0307041293188265
"43229",4995.51163496365,-1.83119338113219,0.500491241550477,-3.65879206089464,0.000253406840856624,0.00858268781387446
"43313",64.0712532255317,-0.927304038945368,0.262446105216996,-3.53331225159029,0.000410387457949819,0.011446348977757
"44299",4.38247431748634,3.72975629312453,0.932500931287763,3.99973465760922,6.34135430329874e-05,0.00320296649104241
